goClass	level
GO:0004133	L4
GO:0009975	L4
GO:0016491	L4
GO:0016740	L4
GO:0016787	L4
GO:0016829	L4
GO:0016853	L4
GO:0016874	L4
GO:0032451	L4
GO:0061783	L4
GO:0140096	L4
GO:0140097	L4
GO:0140098	L4
GO:0003735	L4
GO:0005199	L4
GO:0005200	L4
GO:0005201	L4
GO:0005212	L4
GO:0005213	L4
GO:0008147	L4
GO:0008307	L4
GO:0008316	L4
GO:0016490	L4
GO:0017056	L4
GO:0019911	L4
GO:0030280	L4
GO:0030281	L4
GO:0030527	L4
GO:0035804	L4
GO:0039660	L4
GO:0042302	L4
GO:0043886	L4
GO:0097099	L4
GO:0097493	L4
GO:0098918	L4
GO:0005319	L4
GO:0005344	L4
GO:0022857	L4
GO:0140142	L4
GO:0140318	L4
GO:0000035	L4
GO:0003682	L4
GO:0003823	L4
GO:0005515	L4
GO:0005549	L4
GO:0008144	L4
GO:0008289	L4
GO:0008430	L4
GO:0015643	L4
GO:0019808	L4
GO:0030246	L4
GO:0031409	L4
GO:0033218	L4
GO:0033226	L4
GO:0035731	L4
GO:0036094	L4
GO:0042165	L4
GO:0042562	L4
GO:0043167	L4
GO:0043176	L4
GO:0043287	L4
GO:0043515	L4
GO:0044877	L4
GO:0046790	L4
GO:0046812	L4
GO:0046848	L4
GO:0046904	L4
GO:0048037	L4
GO:0050436	L4
GO:0050825	L4
GO:0050840	L4
GO:0050997	L4
GO:0051540	L4
GO:0060090	L4
GO:0070026	L4
GO:0072328	L4
GO:0072341	L4
GO:0097159	L4
GO:0097243	L4
GO:0097367	L4
GO:0098631	L4
GO:0140272	L4
GO:0140355	L4
GO:1901363	L4
GO:1901567	L4
GO:1901681	L4
GO:1904483	L4
GO:1904493	L4
GO:1904517	L4
GO:1990300	L4
GO:0004362	L4
GO:0004601	L4
GO:0004784	L4
GO:0004791	L4
GO:0032542	L4
GO:0045174	L4
GO:0050605	L4
GO:0051920	L4
GO:0004873	L4
GO:0004998	L4
GO:0005044	L4
GO:0008196	L4
GO:0016964	L4
GO:0030226	L4
GO:0030228	L4
GO:0033568	L4
GO:0061714	L4
GO:0070287	L4
GO:0004694	L4
GO:0030371	L4
GO:0045183	L4
GO:0090079	L4
GO:0000156	L4
GO:0009927	L4
GO:0031992	L4
GO:0038023	L4
GO:0005085	L4
GO:0016247	L4
GO:0030234	L4
GO:0030545	L4
GO:0097690	L4
GO:0140416	L4
GO:0016530	L4
