KEGG	KEGGname
00010	Glycolysis / Gluconeogenesis
00020	Citrate cycle (TCA cycle)
00030	Pentose phosphate pathway
00040	Pentose and glucuronate interconversions
00051	Fructose and mannose metabolism
00052	Galactose metabolism
00053	Ascorbate and aldarate metabolism
00061	Fatty acid biosynthesis
00062	Fatty acid elongation
00071	Fatty acid degradation
00072	Synthesis and degradation of ketone bodies
00073	Cutin, suberine and wax biosynthesis
00100	Steroid biosynthesis
00120	Primary bile acid biosynthesis
00121	Secondary bile acid biosynthesis
00130	Ubiquinone and other terpenoid-quinone biosynthesis
00140	Steroid hormone biosynthesis
00190	Oxidative phosphorylation
00194	Photosynthesis proteins
00195	Photosynthesis
00196	Photosynthesis - antenna proteins
00199	Cytochrome P450
00220	Arginine biosynthesis
00230	Purine metabolism
00232	Caffeine metabolism
00240	Pyrimidine metabolism
00250	Alanine, aspartate and glutamate metabolism
00253	Tetracycline biosynthesis
00254	Aflatoxin biosynthesis
00260	Glycine, serine and threonine metabolism
00261	Monobactam biosynthesis
00270	Cysteine and methionine metabolism
00280	Valine, leucine and isoleucine degradation
00281	Geraniol degradation
00290	Valine, leucine and isoleucine biosynthesis
00300	Lysine biosynthesis
00310	Lysine degradation
00311	Penicillin and cephalosporin biosynthesis
00330	Arginine and proline metabolism
00331	Clavulanic acid biosynthesis
00332	Carbapenem biosynthesis
00333	Prodigiosin biosynthesis
00340	Histidine metabolism
00350	Tyrosine metabolism
00360	Phenylalanine metabolism
00361	Chlorocyclohexane and chlorobenzene degradation
00362	Benzoate degradation
00363	Bisphenol degradation
00364	Fluorobenzoate degradation
00365	Furfural degradation
00380	Tryptophan metabolism
00400	Phenylalanine, tyrosine and tryptophan biosynthesis
00401	Novobiocin biosynthesis
00402	Benzoxazinoid biosynthesis
00403	Indole diterpene alkaloid biosynthesis
00404	Staurosporine biosynthesis
00405	Phenazine biosynthesis
00410	beta-Alanine metabolism
00430	Taurine and hypotaurine metabolism
00440	Phosphonate and phosphinate metabolism
00450	Selenocompound metabolism
00460	Cyanoamino acid metabolism
00471	D-Glutamine and D-glutamate metabolism
00472	D-Arginine and D-ornithine metabolism
00473	D-Alanine metabolism
00480	Glutathione metabolism
00500	Starch and sucrose metabolism
00510	N-Glycan biosynthesis
00511	Other glycan degradation
00512	Mucin type O-glycan biosynthesis
00513	Various types of N-glycan biosynthesis
00514	Other types of O-glycan biosynthesis
00515	Mannose type O-glycan biosynthesis
00520	Amino sugar and nucleotide sugar metabolism
00521	Streptomycin biosynthesis
00522	Biosynthesis of 12-, 14- and 16-membered macrolides
00523	Polyketide sugar unit biosynthesis
00524	Neomycin, kanamycin and gentamicin biosynthesis
00525	Acarbose and validamycin biosynthesis
00531	Glycosaminoglycan degradation
00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
00533	Glycosaminoglycan biosynthesis - keratan sulfate
00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
00535	Proteoglycans
00536	Glycosaminoglycan binding proteins
00537	Glycosylphosphatidylinositol (GPI)-anchored proteins
00540	Lipopolysaccharide biosynthesis
00541	O-Antigen nucleotide sugar biosynthesis
00542	O-Antigen repeat unit biosynthesis
00550	Peptidoglycan biosynthesis
00561	Glycerolipid metabolism
00562	Inositol phosphate metabolism
00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
00564	Glycerophospholipid metabolism
00565	Ether lipid metabolism
00571	Lipoarabinomannan (LAM) biosynthesis
00572	Arabinogalactan biosynthesis - Mycobacterium
00590	Arachidonic acid metabolism
00591	Linoleic acid metabolism
00592	alpha-Linolenic acid metabolism
00600	Sphingolipid metabolism
00601	Glycosphingolipid biosynthesis - lacto and neolacto series
00603	Glycosphingolipid biosynthesis - globo and isoglobo series
00604	Glycosphingolipid biosynthesis - ganglio series
00620	Pyruvate metabolism
00621	Dioxin degradation
00622	Xylene degradation
00623	Toluene degradation
00624	Polycyclic aromatic hydrocarbon degradation
00625	Chloroalkane and chloroalkene degradation
00626	Naphthalene degradation
00627	Aminobenzoate degradation
00630	Glyoxylate and dicarboxylate metabolism
00633	Nitrotoluene degradation
00640	Propanoate metabolism
00642	Ethylbenzene degradation
00643	Styrene degradation
00650	Butanoate metabolism
00660	C5-Branched dibasic acid metabolism
00670	One carbon pool by folate
00680	Methane metabolism
00710	Carbon fixation in photosynthetic organisms
00720	Carbon fixation pathways in prokaryotes
00730	Thiamine metabolism
00740	Riboflavin metabolism
00750	Vitamin B6 metabolism
00760	Nicotinate and nicotinamide metabolism
00770	Pantothenate and CoA biosynthesis
00780	Biotin metabolism
00785	Lipoic acid metabolism
00790	Folate biosynthesis
00791	Atrazine degradation
00830	Retinol metabolism
00860	Porphyrin and chlorophyll metabolism
00900	Terpenoid backbone biosynthesis
00901	Indole alkaloid biosynthesis
00902	Monoterpenoid biosynthesis
00903	Limonene and pinene degradation
00904	Diterpenoid biosynthesis
00905	Brassinosteroid biosynthesis
00906	Carotenoid biosynthesis
00908	Zeatin biosynthesis
00909	Sesquiterpenoid and triterpenoid biosynthesis
00910	Nitrogen metabolism
00920	Sulfur metabolism
00930	Caprolactam degradation
00940	Phenylpropanoid biosynthesis
00941	Flavonoid biosynthesis
00942	Anthocyanin biosynthesis
00943	Isoflavonoid biosynthesis
00944	Flavone and flavonol biosynthesis
00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
00950	Isoquinoline alkaloid biosynthesis
00960	Tropane, piperidine and pyridine alkaloid biosynthesis
00965	Betalain biosynthesis
00966	Glucosinolate biosynthesis
00970	Aminoacyl-tRNA biosynthesis
00980	Metabolism of xenobiotics by cytochrome P450
00981	Insect hormone biosynthesis
00982	Drug metabolism - cytochrome P450
00983	Drug metabolism - other enzymes
00984	Steroid degradation
00997	Biosynthesis of various secondary metabolites - part 3
00998	Biosynthesis of various secondary metabolites - part 2
00999	Biosynthesis of various secondary metabolites - part 1
01000	Enzymes
01001	Protein kinases
01002	Peptidases and inhibitors
01003	Glycosyltransferases
01004	Lipid biosynthesis proteins
01005	Lipopolysaccharide biosynthesis proteins
01006	Prenyltransferases
01007	Amino acid related enzymes
01008	Polyketide biosynthesis proteins
01009	Protein phosphatases and associated proteins
01011	Peptidoglycan biosynthesis and degradation proteins
01040	Biosynthesis of unsaturated fatty acids
01051	Biosynthesis of ansamycins
01052	Type I polyketide structures
01053	Biosynthesis of siderophore group nonribosomal peptides
01054	Nonribosomal peptide structures
01055	Biosynthesis of vancomycin group antibiotics
01056	Biosynthesis of type II polyketide backbone
01057	Biosynthesis of type II polyketide products
01058	Acridone alkaloid biosynthesis
01059	Biosynthesis of enediyne antibiotics
01501	beta-Lactam resistance
01502	Vancomycin resistance
01503	Cationic antimicrobial peptide (CAMP) resistance
01504	Antimicrobial resistance genes
01521	EGFR tyrosine kinase inhibitor resistance
01522	Endocrine resistance
01523	Antifolate resistance
01524	Platinum drug resistance
02000	Transporters
02010	ABC transporters
02020	Two-component system
02022	Two-component system
02024	Quorum sensing
02025	Biofilm formation - Pseudomonas aeruginosa
02026	Biofilm formation - Escherichia coli
02030	Bacterial chemotaxis
02035	Bacterial motility proteins
02040	Flagellar assembly
02042	Bacterial toxins
02044	Secretion system
02048	Prokaryotic defense system
02060	Phosphotransferase system (PTS)
03000	Transcription factors
03008	Ribosome biogenesis in eukaryotes
03009	Ribosome biogenesis
03010	Ribosome
03011	Ribosome
03012	Translation factors
03013	RNA transport
03015	mRNA surveillance pathway
03016	Transfer RNA biogenesis
03018	RNA degradation
03019	Messenger RNA biogenesis
03020	RNA polymerase
03021	Transcription machinery
03022	Basal transcription factors
03029	Mitochondrial biogenesis
03030	DNA replication
03032	DNA replication proteins
03036	Chromosome and associated proteins
03040	Spliceosome
03041	Spliceosome
03050	Proteasome
03051	Proteasome
03060	Protein export
03070	Bacterial secretion system
03100	Non-coding RNAs
03110	Chaperones and folding catalysts
03200	Viral proteins
03210	Viral fusion proteins
03230	Viral genome structure
03310	Nuclear receptors
03320	PPAR signaling pathway
03400	DNA repair and recombination proteins
03410	Base excision repair
03420	Nucleotide excision repair
03430	Mismatch repair
03440	Homologous recombination
03450	Non-homologous end-joining
03460	Fanconi anemia pathway
04010	MAPK signaling pathway
04011	MAPK signaling pathway - yeast
04012	ErbB signaling pathway
04013	MAPK signaling pathway - fly
04014	Ras signaling pathway
04015	Rap1 signaling pathway
04016	MAPK signaling pathway - plant
04020	Calcium signaling pathway
04022	cGMP-PKG signaling pathway
04024	cAMP signaling pathway
04030	G protein-coupled receptors
04031	GTP-binding proteins
04040	Ion channels
04050	Cytokine receptors
04052	Cytokines and growth factors
04054	Pattern recognition receptors
04060	Cytokine-cytokine receptor interaction
04061	Viral protein interaction with cytokine and cytokine receptor
04062	Chemokine signaling pathway
04064	NF-kappa B signaling pathway
04066	HIF-1 signaling pathway
04068	FoxO signaling pathway
04070	Phosphatidylinositol signaling system
04071	Sphingolipid signaling pathway
04072	Phospholipase D signaling pathway
04075	Plant hormone signal transduction
04080	Neuroactive ligand-receptor interaction
04090	CD molecules
04091	Lectins
04110	Cell cycle
04111	Cell cycle - yeast
04112	Cell cycle - Caulobacter
04113	Meiosis - yeast
04114	Oocyte meiosis
04115	p53 signaling pathway
04120	Ubiquitin mediated proteolysis
04121	Ubiquitin system
04122	Sulfur relay system
04130	SNARE interactions in vesicular transport
04131	Membrane trafficking
04136	Autophagy - other
04137	Mitophagy - animal
04138	Autophagy - yeast
04139	Mitophagy - yeast
04140	Autophagy - animal
04141	Protein processing in endoplasmic reticulum
04142	Lysosome
04144	Endocytosis
04145	Phagosome
04146	Peroxisome
04147	Exosome
04150	mTOR signaling pathway
04151	PI3K-Akt signaling pathway
04152	AMPK signaling pathway
04210	Apoptosis
04211	Longevity regulating pathway
04212	Longevity regulating pathway - worm
04213	Longevity regulating pathway - multiple species
04214	Apoptosis - fly
04215	Apoptosis - multiple species
04216	Ferroptosis
04217	Necroptosis
04218	Cellular senescence
04260	Cardiac muscle contraction
04261	Adrenergic signaling in cardiomyocytes
04270	Vascular smooth muscle contraction
04310	Wnt signaling pathway
04320	Dorso-ventral axis formation
04330	Notch signaling pathway
04340	Hedgehog signaling pathway
04341	Hedgehog signaling pathway - fly
04350	TGF-beta signaling pathway
04360	Axon guidance
04361	Axon regeneration
04370	VEGF signaling pathway
04371	Apelin signaling pathway
04380	Osteoclast differentiation
04390	Hippo signaling pathway
04391	Hippo signaling pathway - fly
04392	Hippo signaling pathway - multiple species
04510	Focal adhesion
04512	ECM-receptor interaction
04514	Cell adhesion molecules
04515	Cell adhesion molecules
04520	Adherens junction
04530	Tight junction
04540	Gap junction
04550	Signaling pathways regulating pluripotency of stem cells
04610	Complement and coagulation cascades
04611	Platelet activation
04612	Antigen processing and presentation
04613	Neutrophil extracellular trap formation
04614	Renin-angiotensin system
04620	Toll-like receptor signaling pathway
04621	NOD-like receptor signaling pathway
04622	RIG-I-like receptor signaling pathway
04623	Cytosolic DNA-sensing pathway
04624	Toll and Imd signaling pathway
04625	C-type lectin receptor signaling pathway
04626	Plant-pathogen interaction
04630	JAK-STAT signaling pathway
04640	Hematopoietic cell lineage
04650	Natural killer cell mediated cytotoxicity
04657	IL-17 signaling pathway
04658	Th1 and Th2 cell differentiation
04659	Th17 cell differentiation
04660	T cell receptor signaling pathway
04662	B cell receptor signaling pathway
04664	Fc epsilon RI signaling pathway
04666	Fc gamma R-mediated phagocytosis
04668	TNF signaling pathway
04670	Leukocyte transendothelial migration
04672	Intestinal immune network for IgA production
04710	Circadian rhythm
04711	Circadian rhythm - fly
04712	Circadian rhythm - plant
04713	Circadian entrainment
04714	Thermogenesis
