A	C	ONTOLOGY
ko09100	ko00010	Metabolism
ko09100	ko00020	Metabolism
ko09100	ko00030	Metabolism
ko09100	ko00040	Metabolism
ko09100	ko00051	Metabolism
ko09100	ko00052	Metabolism
ko09100	ko00053	Metabolism
ko09100	ko00500	Metabolism
ko09100	ko00520	Metabolism
ko09100	ko00620	Metabolism
ko09100	ko00630	Metabolism
ko09100	ko00640	Metabolism
ko09100	ko00650	Metabolism
ko09100	ko00660	Metabolism
ko09100	ko00562	Metabolism
ko09100	ko00190	Metabolism
ko09100	ko00195	Metabolism
ko09100	ko00196	Metabolism
ko09100	ko00710	Metabolism
ko09100	ko00720	Metabolism
ko09100	ko00680	Metabolism
ko09100	ko00910	Metabolism
ko09100	ko00920	Metabolism
ko09100	ko00061	Metabolism
ko09100	ko00062	Metabolism
ko09100	ko00071	Metabolism
ko09100	ko00072	Metabolism
ko09100	ko00073	Metabolism
ko09100	ko00100	Metabolism
ko09100	ko00120	Metabolism
ko09100	ko00121	Metabolism
ko09100	ko00140	Metabolism
ko09100	ko00561	Metabolism
ko09100	ko00564	Metabolism
ko09100	ko00565	Metabolism
ko09100	ko00600	Metabolism
ko09100	ko00590	Metabolism
ko09100	ko00591	Metabolism
ko09100	ko00592	Metabolism
ko09100	ko01040	Metabolism
ko09100	ko00230	Metabolism
ko09100	ko00240	Metabolism
ko09100	ko00250	Metabolism
ko09100	ko00260	Metabolism
ko09100	ko00270	Metabolism
ko09100	ko00280	Metabolism
ko09100	ko00290	Metabolism
ko09100	ko00300	Metabolism
ko09100	ko00310	Metabolism
ko09100	ko00220	Metabolism
ko09100	ko00330	Metabolism
ko09100	ko00340	Metabolism
ko09100	ko00350	Metabolism
ko09100	ko00360	Metabolism
ko09100	ko00380	Metabolism
ko09100	ko00400	Metabolism
ko09100	ko00410	Metabolism
ko09100	ko00430	Metabolism
ko09100	ko00440	Metabolism
ko09100	ko00450	Metabolism
ko09100	ko00460	Metabolism
ko09100	ko00471	Metabolism
ko09100	ko00472	Metabolism
ko09100	ko00473	Metabolism
ko09100	ko00480	Metabolism
ko09100	ko00510	Metabolism
ko09100	ko00513	Metabolism
ko09100	ko00512	Metabolism
ko09100	ko00515	Metabolism
ko09100	ko00514	Metabolism
ko09100	ko00532	Metabolism
ko09100	ko00534	Metabolism
ko09100	ko00533	Metabolism
ko09100	ko00531	Metabolism
ko09100	ko00563	Metabolism
ko09100	ko00601	Metabolism
ko09100	ko00603	Metabolism
ko09100	ko00604	Metabolism
ko09100	ko00540	Metabolism
ko09100	ko00542	Metabolism
ko09100	ko00541	Metabolism
ko09100	ko00550	Metabolism
ko09100	ko00511	Metabolism
ko09100	ko00571	Metabolism
ko09100	ko00572	Metabolism
ko09100	ko00730	Metabolism
ko09100	ko00740	Metabolism
ko09100	ko00750	Metabolism
ko09100	ko00760	Metabolism
ko09100	ko00770	Metabolism
ko09100	ko00780	Metabolism
ko09100	ko00785	Metabolism
ko09100	ko00790	Metabolism
ko09100	ko00670	Metabolism
ko09100	ko00830	Metabolism
ko09100	ko00860	Metabolism
ko09100	ko00130	Metabolism
ko09100	ko00900	Metabolism
ko09100	ko00902	Metabolism
ko09100	ko00909	Metabolism
ko09100	ko00904	Metabolism
ko09100	ko00906	Metabolism
ko09100	ko00905	Metabolism
ko09100	ko00981	Metabolism
ko09100	ko00908	Metabolism
ko09100	ko00903	Metabolism
ko09100	ko00281	Metabolism
ko09100	ko01052	Metabolism
ko09100	ko00522	Metabolism
ko09100	ko01051	Metabolism
ko09100	ko01059	Metabolism
ko09100	ko01056	Metabolism
ko09100	ko01057	Metabolism
ko09100	ko00253	Metabolism
ko09100	ko00523	Metabolism
ko09100	ko01054	Metabolism
ko09100	ko01053	Metabolism
ko09100	ko01055	Metabolism
ko09100	ko00940	Metabolism
ko09100	ko00945	Metabolism
ko09100	ko00941	Metabolism
ko09100	ko00944	Metabolism
ko09100	ko00942	Metabolism
ko09100	ko00943	Metabolism
ko09100	ko00901	Metabolism
ko09100	ko00403	Metabolism
ko09100	ko00950	Metabolism
ko09100	ko00960	Metabolism
ko09100	ko01058	Metabolism
ko09100	ko00232	Metabolism
ko09100	ko00965	Metabolism
ko09100	ko00966	Metabolism
ko09100	ko00402	Metabolism
ko09100	ko00311	Metabolism
ko09100	ko00332	Metabolism
ko09100	ko00261	Metabolism
ko09100	ko00331	Metabolism
ko09100	ko00521	Metabolism
ko09100	ko00524	Metabolism
ko09100	ko00525	Metabolism
ko09100	ko00401	Metabolism
ko09100	ko00404	Metabolism
ko09100	ko00405	Metabolism
ko09100	ko00333	Metabolism
ko09100	ko00254	Metabolism
ko09100	ko00999	Metabolism
ko09100	ko00998	Metabolism
ko09100	ko00997	Metabolism
ko09100	ko00362	Metabolism
ko09100	ko00627	Metabolism
ko09100	ko00364	Metabolism
ko09100	ko00625	Metabolism
ko09100	ko00361	Metabolism
ko09100	ko00623	Metabolism
ko09100	ko00622	Metabolism
ko09100	ko00633	Metabolism
ko09100	ko00642	Metabolism
ko09100	ko00643	Metabolism
ko09100	ko00791	Metabolism
ko09100	ko00930	Metabolism
ko09100	ko00363	Metabolism
ko09100	ko00621	Metabolism
ko09100	ko00626	Metabolism
ko09100	ko00624	Metabolism
ko09100	ko00365	Metabolism
ko09100	ko00984	Metabolism
ko09100	ko00980	Metabolism
ko09100	ko00982	Metabolism
ko09100	ko00983	Metabolism
ko09100	ko09113	Metabolism
ko09120	ko03020	Genetic Information Processing
ko09120	ko03022	Genetic Information Processing
ko09120	ko03040	Genetic Information Processing
ko09120	ko03010	Genetic Information Processing
ko09120	ko00970	Genetic Information Processing
ko09120	ko03013	Genetic Information Processing
ko09120	ko03015	Genetic Information Processing
ko09120	ko03008	Genetic Information Processing
ko09120	ko03060	Genetic Information Processing
ko09120	ko04141	Genetic Information Processing
ko09120	ko04130	Genetic Information Processing
ko09120	ko04120	Genetic Information Processing
ko09120	ko04122	Genetic Information Processing
ko09120	ko03050	Genetic Information Processing
ko09120	ko03018	Genetic Information Processing
ko09120	ko03030	Genetic Information Processing
ko09120	ko03410	Genetic Information Processing
ko09120	ko03420	Genetic Information Processing
ko09120	ko03430	Genetic Information Processing
ko09120	ko03440	Genetic Information Processing
ko09120	ko03450	Genetic Information Processing
ko09120	ko03460	Genetic Information Processing
ko09120	ko03230	Genetic Information Processing
ko09130	ko02010	Environmental Information Processing
ko09130	ko02060	Environmental Information Processing
ko09130	ko03070	Environmental Information Processing
ko09130	ko02020	Environmental Information Processing
ko09130	ko04010	Environmental Information Processing
ko09130	ko04013	Environmental Information Processing
ko09130	ko04016	Environmental Information Processing
ko09130	ko04011	Environmental Information Processing
ko09130	ko04012	Environmental Information Processing
ko09130	ko04014	Environmental Information Processing
ko09130	ko04015	Environmental Information Processing
ko09130	ko04310	Environmental Information Processing
ko09130	ko04330	Environmental Information Processing
ko09130	ko04340	Environmental Information Processing
ko09130	ko04341	Environmental Information Processing
ko09130	ko04350	Environmental Information Processing
ko09130	ko04390	Environmental Information Processing
ko09130	ko04391	Environmental Information Processing
ko09130	ko04392	Environmental Information Processing
ko09130	ko04370	Environmental Information Processing
ko09130	ko04371	Environmental Information Processing
ko09130	ko04630	Environmental Information Processing
ko09130	ko04064	Environmental Information Processing
ko09130	ko04668	Environmental Information Processing
ko09130	ko04066	Environmental Information Processing
ko09130	ko04068	Environmental Information Processing
ko09130	ko04020	Environmental Information Processing
ko09130	ko04070	Environmental Information Processing
ko09130	ko04072	Environmental Information Processing
ko09130	ko04071	Environmental Information Processing
ko09130	ko04024	Environmental Information Processing
ko09130	ko04022	Environmental Information Processing
ko09130	ko04151	Environmental Information Processing
ko09130	ko04152	Environmental Information Processing
ko09130	ko04150	Environmental Information Processing
ko09130	ko04075	Environmental Information Processing
ko09130	ko04080	Environmental Information Processing
ko09130	ko04060	Environmental Information Processing
ko09130	ko04061	Environmental Information Processing
ko09130	ko04512	Environmental Information Processing
ko09130	ko04514	Environmental Information Processing
ko09140	ko04144	Cellular Processes
ko09140	ko04145	Cellular Processes
