ko	KOname
K00844	HK; hexokinase
K12407	GCK; glucokinase
K00845	glk; glucokinase
K25026	glk; glucokinase
K01810	GPI, pgi; glucose-6-phosphate isomerase
K06859	pgi1; glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase
K24182	PFK9; 6-phosphofructokinase
K00850	pfkA, PFK; 6-phosphofructokinase 1
K16370	pfkB; 6-phosphofructokinase 2
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase
K03841	FBP, fbp; fructose-1,6-bisphosphatase I
K02446	glpX; fructose-1,6-bisphosphatase II
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K04041	fbp3; fructose-1,6-bisphosphatase III
K01623	ALDO; fructose-bisphosphate aldolase, class I
K11645	fbaB; fructose-bisphosphate aldolase, class I
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II
K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase
K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase
K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
K01803	TPI, tpiA; triosephosphate isomerase (TIM)
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase
K10705	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00927	PGK, pgk; phosphoglycerate kinase
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K15634	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K01689	ENO, eno; enolase
K00873	PK, pyk; pyruvate kinase
K12406	PKLR; pyruvate kinase isozymes R/L
K01006	ppdK; pyruvate, orthophosphate dikinase
K01007	pps, ppsA; pyruvate, water dikinase
K00163	aceE; pyruvate dehydrogenase E1 component
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase
K13997	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit
K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit
K00189	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit
K03737	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00016	LDH, ldh; L-lactate dehydrogenase
K01568	PDC, pdc; pyruvate decarboxylase
K13951	ADH1_7; alcohol dehydrogenase 1/7
K13980	ADH4; alcohol dehydrogenase 4
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K13952	ADH6; alcohol dehydrogenase 6
K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase
K13953	adhP; alcohol dehydrogenase, propanol-preferring
K13954	yiaY; alcohol dehydrogenase
K18857	ADH1; alcohol dehydrogenase class-P
K00001	E1.1.1.1, adh; alcohol dehydrogenase
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+)
K12957	ahr; alcohol/geraniol dehydrogenase (NADP+)
K13979	yahK; alcohol dehydrogenase (NADP+)
K14028	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1
