KOGID	kogidname
KOG0001	Ubiquitin and ubiquitin-like proteins
KOG0002	60s ribosomal protein L39
KOG0003	Ubiquitin/60s ribosomal protein L40 fusion
KOG0004	Ubiquitin/40S ribosomal protein S27a fusion
KOG0005	Ubiquitin-like protein
KOG0006	E3 ubiquitin-protein ligase (Parkin protein)
KOG0007	Splicing factor 3a, subunit 1
KOG0008	Transcription initiation factor TFIID, subunit TAF1
KOG0009	Ubiquitin-like/40S ribosomal S30 protein fusion
KOG0010	Ubiquitin-like protein
KOG0011	Nucleotide excision repair factor NEF2, RAD23 component
KOG0012	DNA damage inducible protein
KOG0013	Uncharacterized conserved protein
KOG0014	MADS box transcription factor
KOG0015	Regulator of arginine metabolism and related MADS box-containing transcription factors
KOG0016	Enoyl-CoA hydratase/isomerase
KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations
KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)
KOG0019	Molecular chaperone (HSP90 family)
KOG0020	Endoplasmic reticulum glucose-regulated protein (GRP94/endoplasmin), HSP90 family
KOG0021	Glutathione synthetase
KOG0022	Alcohol dehydrogenase, class III
KOG0023	Alcohol dehydrogenase, class V
KOG0024	Sorbitol dehydrogenase
KOG0025	Zn2+-binding dehydrogenase (nuclear receptor binding factor-1)
KOG0026	Anthranilate synthase, beta chain
KOG0027	Calmodulin and related proteins (EF-Hand superfamily)
KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein
KOG0029	Amine oxidase
KOG0030	Myosin essential light chain, EF-Hand protein superfamily
KOG0031	Myosin regulatory light chain, EF-Hand protein superfamily
KOG0032	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily
KOG0033	Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily
KOG0034	Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B), EF-Hand superfamily protein
KOG0035	Ca2+-binding actin-bundling protein (actinin), alpha chain (EF-Hand protein superfamily)
KOG0036	Predicted mitochondrial carrier protein
KOG0037	Ca2+-binding protein, EF-Hand protein superfamily
KOG0038	Ca2+-binding kinase interacting protein (KIP) (EF-Hand protein superfamily)
KOG0039	Ferric reductase, NADH/NADPH oxidase and related proteins
KOG0040	Ca2+-binding actin-bundling protein (spectrin), alpha chain (EF-Hand protein superfamily)
KOG0041	Predicted Ca2+-binding protein, EF-Hand protein superfamily
KOG0042	Glycerol-3-phosphate dehydrogenase
KOG0043	Uncharacterized conserved protein, contains DM10 domain
KOG0044	Ca2+ sensor (EF-Hand superfamily)
KOG0045	Cytosolic Ca2+-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)
KOG0046	Ca2+-binding actin-bundling protein (fimbrin/plastin), EF-Hand protein superfamily
KOG0047	Catalase
KOG0048	Transcription factor, Myb superfamily
KOG0049	Transcription factor, Myb superfamily
KOG0050	mRNA splicing protein CDC5 (Myb superfamily)
KOG0051	RNA polymerase I termination factor, Myb superfamily
KOG0052	Translation elongation factor EF-1 alpha/Tu
KOG0053	Cystathionine beta-lyases/cystathionine gamma-synthases
KOG0054	Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily
KOG0055	Multidrug/pheromone exporter, ABC superfamily
KOG0056	Heavy metal exporter HMT1, ABC superfamily
KOG0057	Mitochondrial Fe/S cluster exporter, ABC superfamily
KOG0058	Peptide exporter, ABC superfamily
KOG0059	Lipid exporter ABCA1 and related proteins, ABC superfamily
KOG0060	Long-chain acyl-CoA transporter, ABC superfamily (involved in peroxisome organization and biogenesis)
KOG0061	Transporter, ABC superfamily (Breast cancer resistance protein)
KOG0062	ATPase component of ABC transporters with duplicated ATPase domains/Translation elongation factor EF-3b
KOG0063	RNAse L inhibitor, ABC superfamily
KOG0064	Peroxisomal long-chain acyl-CoA transporter, ABC superfamily
KOG0065	Pleiotropic drug resistance proteins (PDR1-15), ABC superfamily
KOG0066	eIF2-interacting protein ABC50 (ABC superfamily)
KOG0067	Transcription factor CtBP
KOG0068	D-3-phosphoglycerate dehydrogenase, D-isomer-specific 2-hydroxy acid dehydrogenase superfamily
KOG0069	Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily)
KOG0070	GTP-binding ADP-ribosylation factor Arf1
KOG0071	GTP-binding ADP-ribosylation factor Arf6 (dArf3)
KOG0072	GTP-binding ADP-ribosylation factor-like protein ARL1
KOG0073	GTP-binding ADP-ribosylation factor-like protein ARL2
KOG0074	GTP-binding ADP-ribosylation factor-like protein ARL3
KOG0075	GTP-binding ADP-ribosylation factor-like protein
KOG0076	GTP-binding ADP-ribosylation factor-like protein yARL3
KOG0077	Vesicle coat complex COPII, GTPase subunit SAR1
KOG0078	GTP-binding protein SEC4, small G protein superfamily, and related Ras family GTP-binding proteins
KOG0079	GTP-binding protein H-ray, small G protein superfamily
KOG0080	GTPase Rab18, small G protein superfamily
KOG0081	GTPase Rab27, small G protein superfamily
KOG0082	G-protein alpha subunit (small G protein superfamily)
KOG0083	GTPase Rab26/Rab37, small G protein superfamily
KOG0084	GTPase Rab1/YPT1, small G protein superfamily, and related GTP-binding proteins
KOG0085	G protein subunit Galphaq/Galphay, small G protein superfamily
KOG0086	GTPase Rab4, small G protein superfamily
