KOG	KOGID
O	KOG0001
R	KOG0001
J	KOG0002
J	KOG0003
J	KOG0004
D	KOG0005
O	KOG0005
O	KOG0006
A	KOG0007
K	KOG0008
J	KOG0009
O	KOG0009
O	KOG0010
R	KOG0010
L	KOG0011
L	KOG0012
S	KOG0013
K	KOG0014
K	KOG0015
I	KOG0016
R	KOG0017
D	KOG0018
O	KOG0019
O	KOG0020
Q	KOG0021
Q	KOG0022
Q	KOG0023
Q	KOG0024
K	KOG0025
C	KOG0025
E	KOG0026
T	KOG0027
Z	KOG0028
D	KOG0028
Q	KOG0029
Z	KOG0030
Z	KOG0031
T	KOG0032
T	KOG0033
T	KOG0034
Z	KOG0035
F	KOG0036
T	KOG0037
R	KOG0038
P	KOG0039
Q	KOG0039
Z	KOG0040
R	KOG0041
C	KOG0042
S	KOG0043
T	KOG0044
O	KOG0045
T	KOG0045
Z	KOG0046
P	KOG0047
K	KOG0048
K	KOG0049
A	KOG0050
D	KOG0050
K	KOG0051
J	KOG0052
E	KOG0053
Q	KOG0054
Q	KOG0055
P	KOG0056
U	KOG0057
U	KOG0058
I	KOG0059
R	KOG0059
I	KOG0060
R	KOG0060
Q	KOG0061
E	KOG0062
J	KOG0062
A	KOG0063
I	KOG0064
Q	KOG0065
J	KOG0066
K	KOG0067
E	KOG0068
C	KOG0069
U	KOG0070
U	KOG0071
U	KOG0072
U	KOG0073
Z	KOG0073
R	KOG0074
R	KOG0075
U	KOG0076
U	KOG0077
T	KOG0078
U	KOG0078
R	KOG0079
R	KOG0080
U	KOG0081
D	KOG0082
T	KOG0082
R	KOG0083
T	KOG0084
U	KOG0084
T	KOG0085
U	KOG0086
U	KOG0087
R	KOG0088
H	KOG0089
U	KOG0090
R	KOG0091
U	KOG0092
U	KOG0093
U	KOG0094
U	KOG0095
U	KOG0096
U	KOG0097
U	KOG0098
T	KOG0099
O	KOG0100
O	KOG0101
O	KOG0102
O	KOG0103
O	KOG0104
A	KOG0105
A	KOG0106
A	KOG0107
A	KOG0108
A	KOG0109
R	KOG0109
R	KOG0110
O	KOG0111
R	KOG0112
A	KOG0113
R	KOG0114
A	KOG0115
T	KOG0116
A	KOG0117
R	KOG0118
A	KOG0119
A	KOG0120
A	KOG0121
J	KOG0122
A	KOG0123
J	KOG0123
A	KOG0124
R	KOG0125
R	KOG0126
A	KOG0127
A	KOG0128
J	KOG0129
R	KOG0130
A	KOG0131
A	KOG0132
K	KOG0132
L	KOG0133
T	KOG0133
C	KOG0134
R	KOG0134
I	KOG0135
Q	KOG0135
I	KOG0136
I	KOG0137
E	KOG0138
I	KOG0139
I	KOG0140
E	KOG0141
I	KOG0141
Q	KOG0142
Q	KOG0143
R	KOG0143
A	KOG0144
A	KOG0145
A	KOG0146
K	KOG0147
A	KOG0148
J	KOG0148
R	KOG0149
A	KOG0150
R	KOG0151
A	KOG0152
R	KOG0153
R	KOG0154
K	KOG0155
Q	KOG0156
Q	KOG0157
I	KOG0157
Q	KOG0158
Q	KOG0159
Z	KOG0160
Z	KOG0161
Z	KOG0162
Z	KOG0163
Z	KOG0164
Z	KOG0165
U	KOG0166
S	KOG0167
O	KOG0168
T	KOG0169
O	KOG0170
O	KOG0171
E	KOG0172
O	KOG0173
O	KOG0174
O	KOG0175
O	KOG0176
O	KOG0177
O	KOG0178
O	KOG0179
O	KOG0180
O	KOG0181
O	KOG0182
O	KOG0183
O	KOG0184
O	KOG0185
E	KOG0186
J	KOG0187
J	KOG0188
E	KOG0189
O	KOG0190
O	KOG0191
T	KOG0192
T	KOG0193
T	KOG0194
T	KOG0195
T	KOG0196
T	KOG0197
T	KOG0198
T	KOG0199
T	KOG0200
T	KOG0201
P	KOG0202
P	KOG0203
P	KOG0204
P	KOG0205
R	KOG0206
P	KOG0207
P	KOG0208
P	KOG0209
P	KOG0210
T	KOG0211
S	KOG0212
A	KOG0213
K	KOG0214
K	KOG0215
K	KOG0216
L	KOG0217
L	KOG0218
L	KOG0219
L	KOG0220
L	KOG0221
Q	KOG0222
G	KOG0223
G	KOG0224
C	KOG0225
R	KOG0226
A	KOG0227
G	KOG0228
T	KOG0229
T	KOG0230
R	KOG0231
C	KOG0232
C	KOG0233
G	KOG0234
G	KOG0235
P	KOG0236
F	KOG0237
I	KOG0238
E	KOG0238
Z	KOG0239
Z	KOG0240
Z	KOG0241
Z	KOG0242
Z	KOG0243
Z	KOG0244
Z	KOG0245
Z	KOG0246
Z	KOG0247
Z	KOG0248
R	KOG0249
L	KOG0250
T	KOG0251
U	KOG0251
P	KOG0252
R	KOG0253
R	KOG0254
R	KOG0255
T	KOG0256
E	KOG0257
E	KOG0258
E	KOG0259
K	KOG0260
K	KOG0261
K	KOG0262
K	KOG0263
B	KOG0264
A	KOG0265
R	KOG0266
D	KOG0267
A	KOG0268
S	KOG0269
S	KOG0270
S	KOG0271
A	KOG0272
B	KOG0273
R	KOG0274
R	KOG0275
U	KOG0276
U	KOG0277
I	KOG0278
T	KOG0279
E	KOG0280
S	KOG0281
S	KOG0282
S	KOG0283
A	KOG0284
A	KOG0285
R	KOG0286
L	KOG0287
R	KOG0288
R	KOG0289
S	KOG0290
A	KOG0291
U	KOG0292
S	KOG0293
S	KOG0294
S	KOG0295
S	KOG0296
T	KOG0297
L	KOG0298
A	KOG0299
S	KOG0300
I	KOG0301
R	KOG0302
Z	KOG0303
A	KOG0304
D	KOG0305
O	KOG0305
A	KOG0306
U	KOG0307
S	KOG0308
S	KOG0309
S	KOG0310
O	KOG0311
S	KOG0312
Z	KOG0313
O	KOG0314
R	KOG0315
S	KOG0316
O	KOG0317
Z	KOG0318
A	KOG0319
O	KOG0320
S	KOG0321
R	KOG0322
K	KOG0323
S	KOG0324
C	KOG0325
H	KOG0325
A	KOG0326
J	KOG0327
J	KOG0328
A	KOG0329
A	KOG0330
A	KOG0331
A	KOG0332
A	KOG0333
A	KOG0334
A	KOG0335
A	KOG0336
A	KOG0337
A	KOG0338
A	KOG0339
A	KOG0340
A	KOG0341
A	KOG0342
A	KOG0343
A	KOG0344
A	KOG0345
A	KOG0346
A	KOG0347
A	KOG0348
A	KOG0349
A	KOG0350
L	KOG0351
L	KOG0352
R	KOG0353
R	KOG0354
B	KOG0355
O	KOG0356
O	KOG0357
O	KOG0358
O	KOG0359
O	KOG0360
O	KOG0361
O	KOG0362
O	KOG0363
O	KOG0364
O	KOG0365
O	KOG0366
O	KOG0367
I	KOG0368
C	KOG0369
R	KOG0370
T	KOG0371
G	KOG0372
T	KOG0372
D	KOG0373
T	KOG0373
T	KOG0374
R	KOG0374
R	KOG0375
R	KOG0376
T	KOG0377
J	KOG0378
R	KOG0379
I	KOG0380
R	KOG0381
R	KOG0382
R	KOG0383
K	KOG0384
K	KOG0385
B	KOG0386
K	KOG0386
K	KOG0387
L	KOG0387
L	KOG0388
B	KOG0389
L	KOG0390
R	KOG0391
K	KOG0392
R	KOG0393
R	KOG0394
R	KOG0395
S	KOG0396
J	KOG0397
J	KOG0398
E	KOG0399
J	KOG0400
J	KOG0401
J	KOG0402
T	KOG0403
O	KOG0404
Q	KOG0405
O	KOG0406
J	KOG0407
J	KOG0408
R	KOG0409
R	KOG0410
S	KOG0411
U	KOG0412
S	KOG0413
B	KOG0414
D	KOG0414
O	KOG0415
O	KOG0416
O	KOG0417
O	KOG0418
O	KOG0419
O	KOG0420
O	KOG0421
O	KOG0422
O	KOG0423
O	KOG0424
O	KOG0425
O	KOG0426
O	KOG0427
O	KOG0428
O	KOG0429
F	KOG0430
R	KOG0431
J	KOG0432
J	KOG0433
J	KOG0434
J	KOG0435
J	KOG0436
J	KOG0437
J	KOG0438
U	KOG0439
D	KOG0440
P	KOG0441
L	KOG0442
Z	KOG0443
Z	KOG0444
Z	KOG0445
U	KOG0446
R	KOG0446
R	KOG0447
O	KOG0448
G	KOG0449
G	KOG0450
G	KOG0451
A	KOG0452
J	KOG0452
C	KOG0453
E	KOG0453
E	KOG0454
E	KOG0455
E	KOG0456
B	KOG0457
J	KOG0458
J	KOG0459
J	KOG0460
J	KOG0461
J	KOG0462
R	KOG0463
J	KOG0464
J	KOG0465
J	KOG0466
J	KOG0467
J	KOG0468
J	KOG0469
G	KOG0470
G	KOG0471
S	KOG0472
S	KOG0473
P	KOG0474
P	KOG0475
P	KOG0476
L	KOG0477
