KOname	ko
10HGO; 8-hydroxygeraniol dehydrogenase	K23232
10; SARS coronavirus accessory protein 10	K24584
134R; YLDV 134R protein	K23426
16OMT; tabersonine 16-O-methyltransferase	K21895
16SrRNA, rrs; 16S ribosomal RNA	K01977
1a-1b; Beet yellows virus replicase polyprotein 1ab	K21077
1-FEH; fructan beta-(2,1)-fructosidase	K20848
1; T7 RNA polymerase	K21313
23SrRNA, rrl; 23S ribosomal RNA	K01980
2L; TPV TNF binding protein 2L	K23428
2-ODD; (-)-deoxypodophyllotoxin synthase	K21202
2PGK; 2-phosphoglycerate kinase	K05715
3a; SARS coronavirus accessory protein 3a	K24579
3AT; anthocyanidin 3-O-glucoside 6''-O-acyltransferase	K21383
3BETAHSDD; plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase	K23558
3CAR; (+)-car-3-ene synthase	K21938
3GGT; anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase	K12933
3GT; anthocyanin 3'-O-beta-glucosyltransferase	K12939
3MaT1; anthocyanin 3-O-glucoside-6''-O-malonyltransferase	K12931
3MaT2; anthocyanidin 3-O-glucoside-3'',6''-O-dimalonyltransferase	K12932
4CL; 4-coumarate--CoA ligase	K01904
4hbD, abfH; 4-hydroxybutyrate dehydrogenase	K18120
4hbl; 4-hydroxybutyrate---CoA ligase (AMP-forming)	K14467
56; dCTP pyrophosphatase	K21503
5AT; anthocyanin 5-aromatic acyltransferase	K12936
5GT; betanidin 5-O-glucosyltransferase	K15774
5GT; cyanidin 3-O-rutinoside 5-O-glucosyltransferase	K23261
5MaT1; anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	K12934
5MaT2; anthocyanin 5-O-glucoside-4'''-O-malonyltransferase	K12935
5MMP; metalloendoproteinase 5-MMP	K07761
5SrRNA, rrf; 5S ribosomal RNA	K01985
6-FEH; fructan beta-(2,6)-fructosidase	K20849
6GAL; galactan endo-1,6-beta-galactosidase	K18579
6GT; betanidin 6-O-glucosyltransferase	K15775
6-hdno; (R)-6-hydroxynicotine oxidase	K19890
6; SARS coronavirus accessory protein 6	K24580
7a; SARS coronavirus accessory protein 7a	K24581
7b; SARS coronavirus accessory protein 7b	K24582
7-DMATS; tryptophan 7-dimethylallyltransferase	K14131
7-IOMT; isoflavone-7-O-methyltransferase	K13262
7L; Poxvirus chemokine receptor 7L	K23427
8; SARS coronavirus accessory protein 8	K24583
A10; AvrA10 protein	K13474
A18R; Orthopoxvirus transcript termination protein	K21519
A1CF; APOBEC1 complementation factor	K24978
A20R; Chordopoxvirinae DNA polymerase processivity factor component	K21082
A21L; Orthopoxvirus virion membrane protein A21	K24600
A26L; Orthopoxvirus protein A26	K25071
A27L; Orthopoxvirus protein A27	K19263
A28L; Orthopoxvirus envelope protein A28	K21529
A2M; alpha-2-macroglobulin	K03910
A2ML; alpha-2-macroglobulin-like protein	K23593
A3GALT2; alpha-1,3-galactosyltransferase 2	K20736
A4GALT; lactosylceramide 4-alpha-galactosyltransferase	K01988
A4GNT; alpha 1,4-N-acetylglucosaminyltransferase	K08251
A7; Macavirus C-type lectin protein A7	K24586
AA5GT; cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose)	K17194
AA7GT; cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose)	K17192
AAAS; aladin	K14320
aaaT; L-phenylalanine/L-methionine N-acetyltransferase	K03825
aac2-I; aminoglycoside 2'-N-acetyltransferase I	K17840
aac3-I; aminoglycoside 3-N-acetyltransferase I	K03395
aac3-II; aminoglycoside 3-N-acetyltransferase II	K19275
aac3-IV; aminoglycoside 3-N-acetyltransferase IV	K19276
aac3-VI; aminoglycoside 3-N-acetyltransferase VI	K19277
aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I	K18816
aac6-I; aminoglycoside 6'-N-acetyltransferase I	K18815
aac6-Ib; aminoglycoside 6'-N-acetyltransferase Ib	K19278
aac6-II; aminoglycoside 6'-N-acetyltransferase II	K19301
aacA; aminoglycoside 6'-N-acetyltransferase	K00663
aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase	K19883
aacC; aminoglycoside 3-N-acetyltransferase	K00662
AACS, acsA; acetoacetyl-CoA synthetase	K01907
AADAC; arylacetamide deacetylase	K13616
AADACL2; arylacetamide deacetylase-like 2	K14350
AADACL3_4; arylacetamide deacetylase-like 3/4	K14351
aadA; streptomycin 3\"-adenylyltransferase	K00984
AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase	K00825
aadB; aminoglycoside 2''-adenylyltransferase	K17881
AADC; phenylalanine decarboxylase	K22427
aadD, knt; kanamycin nucleotidyltransferase	K17882
aadK; aminoglycoside 6-adenylyltransferase	K05593
AAE11_12; acyl-activating enzyme 11/12	K23618
AAE14; o-succinylbenzoate---CoA ligase	K14760
AAE3; oxalate---CoA ligase	K22133
AAE7, ACN1; acetate/butyrate---CoA ligase	K01913
AAE; acetylajmaline esterase	K21026
aaeA; p-hydroxybenzoic acid efflux pump subunit AaeA	K15548
aaeB; p-hydroxybenzoic acid efflux pump subunit AaeB	K03468
aaeR; LysR family transcriptional regulator, transcriptional activator for aaeXAB operon	K21698
aaeX; protein AaeX	K21695
AAGAB; alpha- and gamma-adaptin-binding protein p34	K23878
AAK; AP2-associated kinase	K08853
AAMP; angio-associated migratory cell protein	K24725
AAMT; anthranilate O-methyltransferase	K21485
AANAT; arylalkylamine N-acetyltransferase	K00669
AAO1_2; indole-3-acetaldehyde oxidase	K11817
AAO3; abscisic-aldehyde oxidase	K09842
AAO4; benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase	K22417
AAP; amino acid permease	K24917
aapJ, bztA; general L-amino acid transport system substrate-binding protein	K09969
aapM, bztC; general L-amino acid transport system permease protein	K09971
